Country Name,Country Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Djibouti,DJI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dominica,DMA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.32999992,,9.529999733,,,,,,23.18000031,,15.67000008,,10.96000004,,,,,,,,,,,,,,,,,,
Denmark,DNK,,,,,,,,,,,,,,0.899999976,2.099999905,5.099999905,5.300000191,6.400000095,7.300000191,6.099999905,7,9.199999809,10,9.744799614,8.867500305,7.797399998,6.033400059,6.091100216,6.486400127,8.149000168,8.337800026,9.098799706,9.027299881,10.71860027,8.03619957,6.992099762,6.843800068,5.400000095,5.038899899,5.141499996,4.475999832,4.164199829,4.274000168,5.39839983,5.204100132,4.829899788,3.897000074,3.801000118,3.682499886,6.409399986,7.746500015,7.769199848,7.797500134,7.383900166,6.925300121,6.277900219,5.988599777,5.833099842,5.131199837,5.017700195
Dominican Republic,DOM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.432400227,7.261799812,6.778699875,6.937699795,6.302899837,6.586599827,5.654500008,5.157700062,4.76429987,5.466599941,5.211999893,6.086900234,6.722000122,7.351500034,6.718900204,7.605400085,7.283500195,5.831699848,5.861299992,6.355999947
Algeria,DZA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.63999939,21.26000023,20.60000038,24.37999916,26.22999954,27.73999977,31.84000015,,25.43000031,,,29.77000046,27.29999924,25.89999962,23.71999931,17.64999962,15.27000046,12.27000046,13.78999996,11.32999992,10.15999985,9.960000038,9.960000038,10.97000027,9.819999695,10.20720005,11.20610046,10.20240021,13.56999969,,
East Asia & Pacific (excluding high income),EAP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.767648716,2.594594162,2.549059608,2.795172387,3.111748923,3.058459093,3.217258855,3.330982249,3.835467194,3.612588297,3.593693785,3.773703479,4.341225194,4.315712578,4.317129715,4.457425623,4.349801988,4.189762605,4.37162709,4.218308192,3.928792348,3.870385041,3.797824495,3.741377002,3.756727297,,,3.567742757,3.49939145,4.399172469
Early-demographic dividend,EAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.212193906,,,,,,5.364166108,,,,,5.240554729,,,,,4.55172736,,4.796324931,,,,,,5.916243648,
East Asia & Pacific,EAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.746897103,2.622934407,2.604401197,2.848972312,3.135422293,3.095641487,3.253057285,3.360980643,3.951519026,3.781382117,3.709105923,3.89798411,4.425940321,4.397491161,4.349418733,4.444012039,4.315593444,4.148938225,4.314378757,4.297243072,4.022540469,3.917893658,3.83576337,3.769689088,3.772116969,,,3.554229082,3.469209455,4.269139672
Europe & Central Asia (excluding high income),ECA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.40794381,5.990260029,7.554098176,7.992130063,8.841576301,10.18442214,11.3598264,11.88296093,9.658428245,9.004383146,8.629187448,8.499661419,8.198817917,7.6659859,7.394220059,6.753302849,6.924804874,9.125350495,8.54926063,7.700148005,7.081643753,7.101078085,7.328474958,7.475084701,7.622738576,7.415260401,7.37559742,7.546438521
Europe & Central Asia,ECS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.695061157,8.807592159,9.760159454,9.474991817,9.836925016,10.17038929,10.33598731,10.37606783,9.266034329,8.578309168,8.65083671,8.688741687,8.687497741,8.341235591,7.790761237,6.93061459,6.910610246,8.93188847,9.04122415,8.708486664,8.920793726,9.156526316,8.910843064,8.513263677,8.095400164,7.491599066,7.016561399,6.728772949
